name,postcode,category,review_count,rating,price,distance,latitude,longitude
Taormina Lounge,H8S 2N9,Bars,20.0,4.5,$$$,527.580979814029,45.43579350588776,-73.6801904439926
Bar Aux Trois Devins,H8S 2N8,Bars,6.0,3.5,$$,497.34782623123107,45.43579350588776,-73.6801904439926
Andrea Restaurant,H8S 2P4,Wine Bars,10.0,2.0,$$$,937.6782617605766,45.43579350588776,-73.6801904439926
Church St Pub,H4G 3E4,Bars,6.0,4.5,,1125.7419441697427,45.45608545783109,-73.58193710446358
Monkee's,H4E,Bars,4.0,4.5,$,1014.8979342806967,45.45608545783109,-73.58193710446358
La Bella Italiana,H1S 1M2,Wine Bars,33.0,4.5,$$,980.7916885629945,45.5904902,-73.5902694
Hawgs Deli & Bar,H1P 3K8,Sports Bars,11.0,2.5,$$,1216.7772519759133,45.5904902,-73.5902694
La Station des Sports,H1P 1W7,Sports Bars,5.0,3.0,$,1305.2414454310215,45.5904902,-73.5902694
Crispo's Lounge,H1R,Sports Bars,1.0,5.0,$$,427.98799166877643,45.57940569041942,-73.60258877277374
Café Restaurant Jounieh,H4N 1C8,Bars,3.0,3.5,,1155.2935478217362,45.5200557245067,-73.67795147001743
L'Unik Resto Brasserie,H4L,Bars,1.0,5.0,$$,908.6626035378364,45.5200557245067,-73.67795147001743
La Zone,H1Z 2C7,Bars,2.0,1.0,$,153.1740523157424,45.5616903,-73.610512
Au P'tit Buck,H2E 1W2,Sports Bars,2.0,4.0,$,1144.2234112376784,45.5616903,-73.610512
Nawab-e Punjab,H8N 1X8,Cocktail Bars,6.0,3.5,,724.3506626376532,45.44527192876118,-73.62448364496231
La Cage,H8N 1X1,Sports Bars,11.0,2.5,$$,790.3848300846724,45.44527192876118,-73.62448364496231
Le Belle et la Boeuf,H8N 1X1,Bars,14.0,3.0,,944.0806753117984,45.44527192876118,-73.62448364496231
Bar Station 77,H8N 1X7,Bars,1.0,1.0,,758.6173420939541,45.44527192876118,-73.62448364496231
Barroco,H2Y 2A3,Cocktail Bars,297.0,4.5,$$$,932.3038085682657,45.501863463435576,-73.5439610481262
BEVO Bar + Pizzeria,H2Y 3A6,Bars,388.0,4.0,$$,925.1500279049482,45.501863463435576,-73.5439610481262
The Keg Steakhouse + Bar - Montreal,H2Y 1G2,Bars,234.0,4.0,$$$,886.9831674446618,45.501863463435576,-73.5439610481262
Maison Saint-Paul,H2Y 1H2,Champagne Bars,99.0,4.5,$$$,1021.1175255950552,45.501863463435576,-73.5439610481262
Wolf & Workman,H2Y 1Z3,Bars,114.0,4.5,$$,879.329231967264,45.501863463435576,-73.5439610481262
Un Po' Di Più,H2Y 0B1,Bars,60.0,4.5,,834.0863481278631,45.501863463435576,-73.5439610481262
The Coldroom,H2Y 1G8,Cocktail Bars,237.0,4.5,$$,924.032046923715,45.501863463435576,-73.5439610481262
Pub Saint Pierre,H2Y 2M7,Bars,101.0,4.5,$$,992.3216982993962,45.501863463435576,-73.5439610481262
Pincette,H2Y 1G6,Wine Bars,36.0,4.5,$$$,872.8758315350045,45.501863463435576,-73.5439610481262
Jacopo,H2Y 3B3,Cocktail Bars,83.0,4.0,,973.9980587309385,45.501863463435576,-73.5439610481262
Monopole,H3C 2M8,Wine Bars,21.0,5.0,$$,1066.5207730772397,45.501863463435576,-73.5439610481262
La Catrina,H2Y 2C7,Cocktail Bars,46.0,4.0,$$,808.3415778551749,45.501863463435576,-73.5439610481262
El Pequeño Bar,H2Y 3A4,Cocktail Bars,28.0,4.5,,924.3332372302103,45.501863463435576,-73.5439610481262
